Number,Actual value,Fast runtime,FastN runtime,Impl1 runtime,Impl2 runtime,Fast abs err,Fast rel err,FastN abs err,FastN rel err,
2.74183e+09,1.90977e-05,0.053,0.13,0.614,0.646,-3.67394e-07,-0.0192376,1.06702e-08,0.000558717,
184.888,0.0735438,0.041,0.137,0.865,0.663,-0.00094527,-0.0128532,1.82986e-05,0.000248813,
201415,0.0022282,0.042,0.177,0.675,1.024,-9.50554e-06,-0.00426602,6.10016e-08,2.73771e-05,
2.41527e+07,0.000203478,0.048,0.135,0.556,0.695,-3.33805e-06,-0.016405,8.26112e-08,0.000405996,
0.000190802,72.395,0.049,0.139,0.709,0.646,-0.0861435,-0.00118991,0.000152588,2.10771e-06,
6.8237e+07,0.000121057,0.046,0.376,0.697,0.64,4.74614e-06,0.0392059,2.7546e-07,0.00227546,
3.19546e+08,5.59414e-05,0.041,0.137,0.752,0.718,4.34742e-07,0.00777139,5.05315e-09,9.03294e-05,
2.54139e+07,0.000198365,0.045,0.142,0.55,0.782,-3.86302e-06,-0.0194744,1.13592e-07,0.000572644,
3.96996e+08,5.01888e-05,0.043,0.127,0.536,0.673,-9.15312e-07,-0.0182374,2.51894e-08,0.000501892,
1.54473e+06,0.000804588,0.043,0.176,0.557,0.62,-1.4483e-05,-0.0180005,3.93367e-07,0.000488905,
393605,0.00159393,0.042,0.185,0.801,0.665,-3.03854e-05,-0.0190632,8.74279e-07,0.000548505,
6.5812e+06,0.000389805,0.043,0.246,0.612,0.593,-8.0227e-06,-0.0205813,2.49391e-07,0.000639783,
522.372,0.0437532,0.043,0.188,0.628,0.619,-0.00011909,-0.00272186,4.84288e-07,1.10686e-05,
1.02766,0.98645,0.048,0.146,0.648,0.643,0.0363439,0.0368431,0.00198388,0.00201113,
9033.98,0.0105211,0.041,0.183,0.601,0.663,-0.000124638,-0.0118465,2.224e-06,0.000211385,
1.1422e+13,2.95888e-07,0.042,0.133,0.558,0.698,-5.65726e-09,-0.0191196,1.63283e-10,0.000551839,
11066.8,0.00950579,0.045,0.14,0.79,0.648,-0.000170588,-0.0179457,4.61936e-06,0.000485952,
3.22971e+13,1.75962e-07,0.043,0.14,0.569,0.67,-2.38772e-09,-0.0135696,4.88143e-11,0.000277414,
2.50733e+14,6.3153e-08,0.047,0.137,0.55,0.631,2.162e-09,0.0342344,1.0975e-10,0.00173785,
27695.7,0.00600888,0.045,0.189,0.551,0.639,-0.000119385,-0.0198681,3.58187e-06,0.000596095,
2.49345e+11,2.00263e-06,0.044,0.136,0.579,0.671,8.20573e-08,0.0409749,4.97471e-09,0.00248409,
244576,0.00202206,0.098,0.19,0.557,0.648,8.74277e-05,0.043237,5.5884e-06,0.00276372,
1.27559e+12,8.85411e-07,0.043,0.139,0.618,0.685,1.09047e-08,0.0123159,2.00657e-10,0.000226626,
53.9698,0.136121,0.043,0.134,0.937,0.749,0.00227529,0.0167152,5.67287e-05,0.000416753,
7.37945e+08,3.68119e-05,0.043,0.297,0.599,0.647,-6.26405e-07,-0.0170164,1.60799e-08,0.000436812,
2.01834e+10,7.03887e-06,0.043,0.176,0.623,0.681,7.08337e-08,0.0100632,1.06547e-09,0.00015137,
1.79558e+07,0.000235992,0.041,0.236,0.607,0.622,6.63205e-06,0.0281028,2.76952e-07,0.00117356,
22813,0.00662078,0.046,0.248,0.61,0.715,-8.95574e-05,-0.0135267,1.82539e-06,0.000275707,
4.89215e+10,4.52116e-06,0.041,0.182,0.551,1.035,-6.46419e-08,-0.0142976,1.39244e-09,0.000307982,
2.1536e+06,0.000681424,0.046,0.133,0.761,0.893,-2.45502e-06,-0.00360279,1.32713e-08,1.94759e-05,
9.60294e+10,3.22699e-06,0.056,0.416,0.765,0.84,-4.47531e-08,-0.0138683,9.35415e-10,0.000289872,
183.54,0.0738133,0.043,0.19,0.663,0.626,-0.00100478,-0.0136124,2.06158e-05,0.000279296,
5.05956e+07,0.000140586,0.043,0.183,0.788,0.581,-1.0284e-06,-0.00731506,1.13214e-08,8.05297e-05,
7935.63,0.0112256,0.051,0.233,0.762,10.877,-6.61081e-05,-0.00588905,5.84871e-07,5.21015e-05,
18999.2,0.00725492,0.043,0.19,0.84,0.898,8.99429e-05,0.0123975,1.66567e-06,0.000229592,
9.71193e+07,0.000101472,0.045,0.182,0.669,0.792,-1.70449e-06,-0.0167976,4.31901e-08,0.000425635,
3.60669e+06,0.000526558,0.052,0.248,0.624,0.676,1.18399e-05,0.0224855,3.96278e-07,0.000752582,
1.55237e+07,0.000253807,0.055,0.185,0.956,0.744,1.1038e-05,0.0434898,7.09639e-07,0.00279598,
2253.42,0.0210658,0.057,0.189,0.568,0.635,-0.000244956,-0.0116281,4.28781e-06,0.000203543,
2.69737e+08,6.08878e-05,0.05,0.182,0.642,0.733,2.54979e-06,0.0418768,1.57928e-07,0.00259376,
97556.5,0.00320164,0.045,0.298,0.609,0.627,-5.95863e-05,-0.0186112,1.67359e-06,0.000522729,
1.09156e+09,3.02675e-05,0.043,0.18,0.6,0.634,1.18814e-06,0.0392547,6.90434e-08,0.0022811,
611943,0.00127833,0.05,0.14,0.568,0.623,-2.09314e-05,-0.0163739,5.16884e-07,0.000404342,
2.47764e+06,0.000635303,0.056,0.13,0.563,0.693,-1.08529e-05,-0.0170831,2.79688e-07,0.000440243,
3.20447e+06,0.000558627,0.051,0.178,0.666,0.65,-2.91492e-06,-0.00521801,2.28756e-08,4.09497e-05,
3.07776e+08,5.7001e-05,0.042,0.324,0.575,0.816,8.25312e-07,0.0144789,1.78334e-08,0.000312861,
181445,0.00234762,0.042,0.129,0.611,0.671,-3.88753e-05,-0.0165595,9.70904e-07,0.00041357,
1.6457e+07,0.000246504,0.045,0.314,0.603,0.643,1.05267e-05,0.0427041,6.64702e-07,0.00269652,
13572.3,0.00858367,0.042,0.137,0.59,0.606,0.000101997,0.0118826,1.81142e-06,0.000211031,
9.03524e+08,3.32683e-05,0.05,0.176,0.613,0.644,5.36013e-07,0.0161118,1.28857e-08,0.000387328,
9.4148,0.325908,0.042,0.133,0.564,0.704,-0.00549686,-0.0168663,0.000139832,0.000429056,
5.71686e+11,1.32258e-06,0.043,0.234,0.566,0.649,-6.93694e-09,-0.00524502,5.46834e-11,4.1346e-05,
368.115,0.0521205,0.039,0.181,0.564,0.675,-0.000850409,-0.0163162,2.0925e-05,0.000401473,
1.18662e+08,9.18002e-05,0.043,0.182,0.855,0.651,-1.57991e-06,-0.0172103,4.10218e-08,0.00044686,
2.50831e+06,0.000631407,0.054,0.184,0.72,0.683,-1.11784e-05,-0.0177039,2.98664e-07,0.000473013,
56.5433,0.132987,0.043,0.247,0.551,0.667,0.00416791,0.0313408,0.000193879,0.00145788,
1.35589e+11,2.71574e-06,0.041,0.131,0.668,0.596,-7.00902e-09,-0.00258089,2.70575e-11,9.96321e-06,
3.08614e+06,0.000569236,0.045,0.26,1.159,0.768,-6.0813e-06,-0.0106833,9.78471e-08,0.000171892,
1.55387e+07,0.000253684,0.045,0.126,0.708,0.638,1.10246e-05,0.043458,7.08271e-07,0.00279195,
222.542,0.0670338,0.051,0.184,0.611,0.86,0.00173775,0.0259235,6.69882e-05,0.00099932,
273721,0.00191137,0.045,0.14,0.565,0.737,6.37566e-05,0.0333564,3.15462e-06,0.00165045,
4.84016e+06,0.000454538,0.055,0.134,0.57,0.602,6.03931e-06,0.0132867,1.1985e-07,0.000263673,
4285.23,0.0152761,0.042,0.171,0.586,0.646,0.000503125,0.0329354,2.45832e-05,0.00160926,
2053.8,0.0220659,0.058,0.177,0.581,0.679,-6.42426e-06,-0.00029114,1.86265e-09,8.44129e-08,
236416,0.00205665,0.043,0.126,0.563,0.62,7.97284e-05,0.0387661,4.57629e-06,0.00222511,
3.48389e+10,5.35757e-06,0.041,0.125,0.628,0.672,-9.9767e-09,-0.00186217,2.77396e-11,5.17764e-06,
21.6555,0.21489,0.052,0.125,0.593,0.616,-0.00227371,-0.0105808,3.62098e-05,0.000168504,
6.87667e+08,3.81339e-05,0.045,0.126,0.574,0.83,-7.33398e-07,-0.0192322,2.12967e-08,0.000558473,
3.59293e+06,0.000527565,0.05,0.18,0.823,0.646,1.12454e-05,0.0213156,3.56988e-07,0.000676671,
2.35565e+10,6.51545e-06,0.041,0.173,0.544,0.884,-7.80929e-08,-0.0119858,1.40926e-09,0.000216296,
2.90068e+14,5.87152e-08,0.063,0.202,0.799,0.623,2.12714e-09,0.0362282,1.14198e-10,0.00194496,
1.87118e+07,0.000231176,0.045,0.13,0.613,0.711,4.5659e-06,0.0197508,1.34358e-07,0.000581194,
326.096,0.0553767,0.05,0.166,0.602,0.676,-0.000158798,-0.0028676,6.85453e-07,1.2378e-05,
2290.96,0.0208925,11.021,0.112,0.628,0.676,-0.000275055,-0.0131652,5.45569e-06,0.000261131,
41.8817,0.154521,0.045,0.156,0.85,0.883,-0.00293401,-0.0189878,8.41022e-05,0.000544276,
5.645e+07,0.000133097,0.049,0.229,0.804,0.65,2.13108e-06,0.0160115,5.09172e-08,0.000382557,
0.000584134,41.3755,0.05,0.124,0.85,0.646,-0.732914,-0.0177137,0.0195885,0.000473431,
484747,0.00143629,0.048,0.285,0.643,0.674,-1.82608e-05,-0.0127139,3.49712e-07,0.000243483,
334703,0.0017285,0.044,0.131,0.596,0.668,-5.52752e-06,-0.00319786,2.66591e-08,1.54232e-05,
7.65886e+06,0.000361342,0.04,0.405,0.582,0.645,-5.12213e-06,-0.0141753,1.0946e-07,0.000302925,
1053.41,0.0308106,0.043,0.251,0.99,0.634,0.00112811,0.0366144,6.12028e-05,0.00198642,
5.74286e+06,0.000417288,0.047,0.177,0.576,0.639,-4.93866e-06,-0.0118351,8.80391e-08,0.000210979,
8.72352e+06,0.000338574,0.044,0.126,0.968,0.641,-1.77723e-06,-0.00524914,1.4028e-08,4.14327e-05,
1002.12,0.0315893,0.041,0.141,0.582,0.662,0.00134853,0.0426895,8.51229e-05,0.00269468,
7.39741e+08,3.67672e-05,0.043,0.128,0.65,0.606,-6.20079e-07,-0.016865,1.57743e-08,0.000429031,
0.42053,1.54206,0.043,0.289,1.002,0.865,-0.0309217,-0.0200522,0.00093627,0.000607155,
6.83509e+09,1.20956e-05,0.046,0.36,0.659,0.621,-2.51292e-07,-0.0207754,7.88441e-09,0.000651841,
69917,0.00378189,0.049,0.142,0.659,0.691,0.000108805,0.0287701,4.65009e-06,0.00122957,
977339,0.00101153,0.045,0.139,0.773,0.616,4.37633e-05,0.0432646,2.79909e-06,0.00276719,
343646,0.00170586,0.047,0.255,0.589,0.658,-1.15093e-05,-0.0067469,1.16648e-07,6.83807e-05,
7.85248e+09,1.12849e-05,0.048,0.131,0.581,0.648,-1.58409e-07,-0.0140373,3.35058e-09,0.000296909,
558.12,0.0423288,0.042,0.189,0.572,0.68,-0.000452537,-0.010691,7.28294e-06,0.000172056,
6.98231e+10,3.78443e-06,0.043,0.162,0.627,0.741,1.48999e-07,0.0393716,8.68408e-09,0.00229469,
7.01989e+06,0.000377429,0.047,0.175,6.052,0.614,-7.63155e-06,-0.0202198,2.33034e-07,0.000617426,
88979.8,0.00335239,0.043,0.192,0.618,0.66,-3.66368e-05,-0.0109286,6.02566e-07,0.000179742,
311.327,0.056675,0.049,0.14,0.638,0.795,0.000238057,0.00420039,1.49384e-06,2.6358e-05,
1.75193e+08,7.55513e-05,0.042,0.18,0.809,0.939,-1.43837e-06,-0.0190383,4.1342e-08,0.000547204,
1.36012e+07,0.000271151,0.043,0.148,0.637,0.74,1.77909e-06,0.00656124,1.74623e-08,6.44006e-05,
67268.4,0.00385562,0.048,0.423,0.905,0.893,0.000143073,0.0371075,7.86502e-06,0.00203988,
169777,0.00242695,0.043,0.131,0.588,0.668,-4.64788e-05,-0.0191511,1.34367e-06,0.000553643,
1.63509e+13,2.47303e-07,0.04,0.345,0.612,0.672,1.07199e-08,0.0433474,6.86953e-10,0.00277778,
97.1188,0.101472,0.047,0.131,0.608,0.639,-0.00198388,-0.0195509,5.85541e-05,0.000577044,
1.32222e+08,8.69657e-05,0.043,0.127,0.583,0.683,-2.48132e-07,-0.00285322,1.06229e-09,1.2215e-05,
2.96342e+06,0.000580903,0.042,0.249,0.686,0.735,-8.70094e-06,-0.0149783,1.96451e-07,0.000338182,
26430.6,0.00615101,0.049,0.146,0.561,0.69,-0.00012807,-0.020821,4.02797e-06,0.000654847,
1.09929e+08,9.53769e-05,0.048,0.181,0.707,0.693,-1.9745e-06,-0.0207021,6.17365e-08,0.00064729,
9.62443e+10,3.22339e-06,0.042,0.182,0.725,0.721,-4.53754e-08,-0.0140769,9.627e-10,0.000298661,
915.459,0.0330507,0.041,0.134,0.834,0.659,0.00117446,0.035535,6.18622e-05,0.00187174,
123522,0.0028453,0.042,0.127,0.572,0.84,-2.90067e-05,-0.0101946,4.44939e-07,0.000156377,
16503.9,0.00778408,0.042,0.124,0.556,0.651,0.000321639,0.0413201,1.96607e-05,0.00252576,
6.43237e+06,0.000394289,0.042,0.18,0.591,0.669,-7.87043e-06,-0.0199611,2.37225e-07,0.000601654,
751126,0.00115383,0.05,0.135,0.716,0.698,-1.5807e-05,-0.0136995,3.26196e-07,0.000282706,
7585.02,0.0114821,0.041,0.131,0.757,0.665,-0.000143962,-0.0125379,2.71853e-06,0.000236762,
364287,0.00165683,0.042,0.131,0.637,0.848,-2.20952e-05,-0.0133358,4.43892e-07,0.000267916,
2.58992e+10,6.21379e-06,0.042,0.149,0.833,0.685,-1.19659e-07,-0.0192571,3.47882e-09,0.000559854,
229.409,0.0660229,0.045,0.131,0.629,0.658,0.00240331,0.0364012,0.000129633,0.00196345,
0.531855,1.37121,0.042,0.234,0.575,0.666,-0.0109794,-0.00800711,0.000132203,9.64136e-05,
2.51973e+07,0.000199216,0.046,0.146,0.544,0.906,-3.80025e-06,-0.0190761,1.0943e-07,0.000549306,
1.0562e+07,0.0003077,0.042,0.192,0.68,0.641,-5.89865e-06,-0.0191701,1.70723e-07,0.000554836,
303.42,0.0574087,0.046,0.14,0.566,0.682,0.000489183,0.00852105,6.22869e-06,0.000108497,
3.43179e+07,0.000170702,0.047,0.17,0.553,0.637,-5.21468e-07,-0.00305484,2.38651e-09,1.39805e-05,
1.25769e+07,0.000281977,0.041,0.184,0.573,0.66,-2.30092e-06,-0.00815996,2.82307e-08,0.000100117,
105424,0.00307985,0.042,0.309,0.91,0.645,-6.4132e-05,-0.0208231,2.01701e-06,0.000654906,
3294.76,0.0174216,0.04,0.146,0.697,0.642,8.32044e-05,0.00477593,5.94184e-07,3.41062e-05,
1026.29,0.0312151,0.056,0.382,0.617,0.643,0.00132566,0.0424687,8.32528e-05,0.00266707,
4.09149,0.494378,0.046,0.309,0.617,0.625,0.0187266,0.0378791,0.00105062,0.00212514,
973685,0.00101342,0.041,0.184,0.749,0.701,4.3958e-05,0.0433758,2.81876e-06,0.00278143,
8.98874,0.333542,0.049,0.183,0.853,0.566,-0.00451955,-0.0135502,9.2268e-05,0.000276631,
1.68545e+11,2.4358e-06,0.043,0.347,0.976,0.621,-4.54284e-08,-0.0186503,1.27875e-09,0.000524982,
1.92333e+16,7.21063e-09,0.04,0.22,0.721,0.799,2.06297e-10,0.0286101,8.76899e-12,0.00121612,
2.26074e+06,0.000665082,0.028,0.192,0.601,0.644,-6.32496e-06,-0.00951005,9.05129e-08,0.000136093,
910723,0.00104787,0.05,0.182,0.605,0.784,2.68634e-05,0.0256362,1.02422e-06,0.000977434,
1.57937e+08,7.95715e-05,0.043,0.175,0.592,0.632,-1.34159e-06,-0.0168602,3.4117e-08,0.000428758,
87000.9,0.0033903,0.043,0.141,0.749,0.684,-2.82123e-05,-0.00832148,3.53204e-07,0.000104181,
61994.2,0.00401628,0.042,0.248,0.585,0.632,0.000172366,0.0429168,1.09375e-05,0.00272328,
1235.2,0.0284532,0.034,0.369,0.738,0.608,0.00015763,0.00553997,1.30758e-06,4.59553e-05,
1.39499e+06,0.000846671,0.033,0.173,0.917,0.878,-7.26467e-06,-0.00858027,9.38307e-08,0.000110823,
4.01593e+13,1.578e-07,0.035,0.173,0.576,0.602,-2.33918e-09,-0.0148237,5.22675e-11,0.000331226,
1.92929e+07,0.000227668,0.024,0.189,0.607,0.525,3.17192e-06,0.0139322,6.59784e-08,0.000289801,
145.499,0.082903,0.032,0.121,0.724,0.581,-0.00120249,-0.0145047,2.62931e-05,0.000317155,
40.7993,0.156558,0.049,0.135,0.566,0.604,-0.00301178,-0.0192375,8.74698e-05,0.000558707,
92541.4,0.00328724,0.024,0.15,0.601,0.611,-4.87084e-05,-0.0148174,1.08802e-06,0.000330982,
27950.1,0.00598148,0.023,0.196,0.559,0.631,-0.000116467,-0.0194714,3.42354e-06,0.000572357,
1.975e+06,0.000711568,0.033,0.34,0.894,0.672,-7.32299e-06,-0.0102913,1.13447e-07,0.000159432,
81213.2,0.00350903,0.036,0.335,0.84,0.641,4.27058e-06,0.00121703,7.68341e-09,2.18961e-06,
2.56422e+13,1.9748e-07,0.036,0.17,0.606,0.601,-3.41748e-09,-0.0173055,8.92157e-11,0.000451772,
0.00106355,30.6635,0.029,0.171,0.669,0.647,0.751371,0.0245038,0.0273933,0.000893355,
1.28353e+08,8.82667e-05,0.04,0.37,0.763,0.596,-7.06554e-07,-0.00800476,8.50559e-09,9.63625e-05,
526400,0.00137829,0.045,0.186,0.546,0.636,-6.39586e-07,-0.000464042,4.65661e-10,3.37853e-07,
0.882683,1.06438,0.045,0.205,0.582,0.61,0.0330226,0.0310252,0.00152099,0.00142899,
318913,0.00177078,0.043,0.13,0.566,0.681,7.33568e-06,0.00414263,4.55184e-08,2.57053e-05,
775.286,0.0359144,0.042,0.141,0.632,0.781,-0.000239544,-0.00666984,2.40281e-06,6.69038e-05,
3469.48,0.0169773,0.079,0.229,0.584,0.953,0.000305368,0.0179869,8.18819e-06,0.000482303,
203.548,0.0700916,0.056,0.154,0.571,0.75,0.000158399,0.00225989,5.36442e-07,7.65344e-06,
4.06579e+10,4.95938e-06,0.048,0.516,0.635,0.881,-8.51451e-08,-0.0171685,2.20507e-09,0.000444626,
9.3223e+12,3.27521e-07,0.044,0.227,0.769,0.99,-2.4821e-09,-0.00757844,2.82796e-11,8.63445e-05,
3830.93,0.0161565,0.055,0.123,0.6,0.702,0.000697483,0.0431704,4.45154e-05,0.00275526,
2.87365e+07,0.000186545,0.073,0.242,0.832,0.989,-3.59539e-06,-0.0192736,1.04614e-07,0.000560797,
24914.9,0.00633534,0.07,0.206,0.66,0.72,-0.000124419,-0.0196389,3.68897e-06,0.000582284,
3.65745e+07,0.000165353,0.043,0.331,0.721,0.907,-1.76663e-06,-0.010684,2.84199e-08,0.000171875,
2.90248,0.586969,0.057,0.12,0.799,0.78,-0.00724196,-0.0123379,0.000134587,0.000229292,
2.59574e+12,6.20682e-07,0.042,0.176,1.238,0.857,-1.05736e-08,-0.0170355,2.71712e-10,0.000437763,
3398.55,0.0171535,0.047,0.191,0.819,0.899,0.000211038,0.0123029,3.87803e-06,0.000226078,
679.753,0.0383552,0.078,0.122,0.827,0.79,-0.000714198,-0.0186206,2.00719e-05,0.000523315,
173149,0.0024032,0.076,0.177,0.874,0.633,-4.51033e-05,-0.018768,1.27777e-06,0.000531698,
2.52924e+11,1.98841e-06,0.069,0.298,0.594,0.697,8.68646e-08,0.0436855,5.60931e-09,0.00282101,
7.27753e+09,1.17222e-05,0.076,0.188,1.074,1,-2.31768e-07,-0.0197718,6.91944e-09,0.000590286,
90.4489,0.105147,0.074,0.302,0.845,0.656,-0.00156581,-0.0148915,3.51518e-05,0.00033431,
1.27658e+08,8.85066e-05,0.075,0.134,0.641,0.648,-7.82638e-07,-0.00884272,1.04046e-08,0.000117558,
129.199,0.0879773,0.081,0.439,0.821,0.684,-0.000107683,-0.00122399,1.93715e-07,2.20188e-06,
501574,0.00141199,0.06,0.178,0.66,0.765,-1.12165e-05,-0.00794373,1.33994e-07,9.48971e-05,
2.2158,0.671792,0.089,0.132,0.541,0.662,-0.00825447,-0.0122872,0.000152767,0.000227402,
2.60941,0.619054,0.058,0.179,0.58,0.665,-0.0117906,-0.0190462,0.000338912,0.000547468,
1.05711e+06,0.000972612,0.053,0.594,0.679,0.642,4.00082e-05,0.0411348,2.43477e-06,0.00250333,
5.29884e+07,0.000137376,0.054,0.173,0.792,0.704,1.13141e-07,0.00082359,1.45519e-10,1.05928e-06,
0.000332417,54.8477,0.042,0.139,0.629,0.584,-0.616379,-0.011238,0.0104256,0.000190082,
1.86079e+10,7.3308e-06,0.042,0.17,0.504,0.598,1.87852e-07,0.025625,7.15863e-09,0.000976514,
2.19304,0.675269,0.055,0.182,0.634,0.63,-0.00762242,-0.011288,0.000129521,0.000191806,
114.594,0.0934156,0.058,0.176,0.62,0.604,-0.00150805,-0.0161434,3.6709e-05,0.000392965,
0.00655812,12.3484,0.044,0.236,0.838,0.483,-0.248436,-0.0201189,0.00754833,0.000611281,
1.7176e+10,7.63025e-06,0.044,0.178,0.76,0.652,3.27902e-07,0.0429739,2.08338e-08,0.00273042,
2.42486e+11,2.03075e-06,0.056,0.164,0.703,0.636,6.25894e-08,0.0308208,2.86377e-09,0.0014102,
2.03159e+08,7.01588e-05,0.086,0.188,0.677,0.68,-4.72137e-07,-0.00672954,4.77303e-09,6.80317e-05,
284743,0.00187402,0.078,0.184,0.895,0.66,4.69281e-05,0.0250414,1.74821e-06,0.000932868,
9.84821e+09,1.00768e-05,0.047,0.169,0.583,0.785,-1.52731e-07,-0.0151568,3.49064e-09,0.000346405,
1.28107e+09,2.79392e-05,0.08,0.178,0.828,0.643,2.06352e-07,0.00738575,2.27919e-09,8.1577e-05,
1.34849e+09,2.72317e-05,0.06,0.173,0.662,0.63,-2.19989e-08,-0.000807839,2.54659e-11,9.35153e-07,
11309.8,0.00940314,0.066,0.18,0.713,0.702,-0.000157394,-0.0167384,3.97395e-06,0.00042262,
3.62209e+09,1.66158e-05,0.067,0.235,1.091,0.593,2.78042e-07,0.0167336,6.93944e-09,0.000417642,
1.41236e+08,8.41447e-05,0.056,0.18,0.607,0.636,-5.65771e-07,-0.00672379,5.7189e-09,6.79651e-05,
873.622,0.0338328,0.043,0.175,0.752,0.826,0.000679813,0.0200933,2.0355e-05,0.000601634,
2.02825e+11,2.22044e-06,0.043,0.243,0.673,0.894,-2.2924e-08,-0.0103241,3.56067e-10,0.000160359,
459.296,0.046661,0.032,0.195,0.791,0.683,-0.000744671,-0.0159592,1.79224e-05,0.000384098,
5.10599e+06,0.000442548,0.041,0.357,0.554,0.728,1.78564e-06,0.0040349,1.07975e-08,2.43985e-05,
9.01771e+08,3.33006e-05,0.045,0.132,0.611,0.706,5.18514e-07,0.0155707,1.20453e-08,0.000361716,
21155.7,0.00687522,0.053,0.404,0.723,0.583,-3.26824e-05,-0.00475366,2.33296e-07,3.39329e-05,
27.6736,0.190093,0.043,0.14,0.926,0.807,-0.00356185,-0.0187374,0.000100732,0.000529907,
478.479,0.045716,0.048,0.192,0.685,0.634,-0.00051875,-0.0113472,8.86619e-06,0.000193941,
216.367,0.0679837,0.048,0.217,0.675,0.568,0.00117996,0.0173566,3.05399e-05,0.000449225,
239.399,0.0646307,0.046,0.282,0.655,0.741,0.00279038,0.0431742,0.000178106,0.00275575,
1.52985e+07,0.000255667,0.042,0.134,0.534,0.666,1.09947e-05,0.0430041,6.99074e-07,0.00273431,
63147.3,0.00397945,0.041,0.15,0.596,0.661,0.000169893,0.0426926,1.07251e-05,0.00269513,
4.78408,0.457194,0.054,0.129,0.634,0.668,0.00318617,0.00696895,3.32296e-05,7.26815e-05,
8.83508e+07,0.000106389,0.047,0.199,0.594,0.633,-7.75653e-07,-0.00729076,8.49832e-09,7.988e-05,
3.49057e+07,0.000169259,0.054,0.136,0.772,0.583,-8.95656e-07,-0.00529163,7.13044e-09,4.21274e-05,
11.0101,0.301373,0.06,0.17,0.543,0.671,-0.00510475,-0.0169383,0.000130445,0.000432836,
7.26599e+08,3.70982e-05,0.055,0.165,0.622,0.927,-6.62581e-07,-0.0178602,1.78552e-08,0.000481296,
2.71939e+06,0.000606407,0.051,0.183,0.681,0.637,-1.16053e-05,-0.0191379,3.35276e-07,0.00055289,
1.58514,0.794267,0.055,0.182,0.69,0.634,-0.0164699,-0.020736,0.000515878,0.000649502,
974.008,0.0320419,0.051,0.289,0.724,0.671,0.0013722,0.0428252,8.68887e-05,0.00271172,
5.1373e-06,441.197,0.054,0.122,0.695,0.816,-4.41873,-0.0100153,0.0666199,0.000150998,
37849.9,0.00514005,0.055,0.162,0.621,0.644,-8.06456e-05,-0.0156896,1.90828e-06,0.000371257,
272.081,0.0606249,0.049,0.132,0.862,0.697,0.00179255,0.0295679,7.87228e-05,0.00129852,
272.734,0.0605523,0.051,0.175,0.663,0.773,0.0017598,0.0290626,7.59736e-05,0.00125468,
60003.4,0.00408237,0.05,0.19,0.859,0.641,0.000179118,0.0438761,1.16164e-05,0.0028455,
4.6692e+13,1.46345e-07,0.063,0.166,0.599,0.867,-2.72703e-09,-0.0186343,7.6696e-11,0.000524076,
1.85843e+06,0.000733546,0.05,0.153,0.611,0.641,-1.24872e-05,-0.017023,3.20666e-07,0.000437145,
3.74667e+09,1.63372e-05,0.044,0.13,0.591,0.679,4.42054e-07,0.0270582,1.77788e-08,0.00108824,
1.71498e+06,0.000763609,0.05,0.183,0.605,0.877,-1.58239e-05,-0.0207225,4.95347e-07,0.000648692,
1.85193e+09,2.32374e-05,0.05,0.175,0.766,0.639,-4.39202e-07,-0.0189007,1.2531e-08,0.000539261,
4.67447e+11,1.46263e-06,0.05,0.133,0.684,0.689,-2.86914e-08,-0.0196163,8.49695e-10,0.000580938,
1403.06,0.0266969,0.05,0.356,0.557,0.653,-0.000317957,-0.0119099,5.70156e-06,0.000213566,
1.50757e+11,2.5755e-06,0.056,0.342,0.775,0.627,-2.9162e-08,-0.0113229,4.97266e-10,0.000193076,
1.6204,0.785577,0.055,0.18,0.602,0.658,-0.0163441,-0.0208052,0.000513673,0.00065388,
7.28897e+08,3.70396e-05,0.05,0.146,0.602,0.688,-6.55793e-07,-0.0177052,1.75205e-08,0.00047302,
8.9299e+10,3.34639e-06,0.051,0.184,0.557,0.675,-1.87572e-08,-0.0056052,1.57797e-10,4.71545e-05,
1.18213e+09,2.90849e-05,0.055,0.17,0.566,0.62,6.49063e-07,0.0223161,2.15641e-08,0.00074142,
4.94346e+10,4.49764e-06,0.055,0.193,0.707,0.979,-5.96838e-08,-0.01327,1.19326e-09,0.000265308,
2.79807,0.597821,0.044,0.173,0.794,0.63,-0.00944227,-0.0157945,0.000224888,0.00037618,
1.09401e+06,0.00095607,0.043,0.141,0.593,1.029,3.20571e-05,0.03353,1.59437e-06,0.00166762,
9.12923e+08,3.30966e-05,0.041,0.23,0.614,0.684,6.31455e-07,0.0190792,1.79607e-08,0.000542676,
7.92512e+06,0.00035522,0.041,0.157,0.968,0.741,-3.49476e-06,-0.0098383,5.17466e-08,0.000145675,
0.282706,1.88076,0.042,0.133,0.62,0.547,0.0321252,0.017081,0.000818491,0.000435193,
2.89187e+09,1.85956e-05,0.054,0.168,0.607,0.599,-3.36368e-07,-0.0180885,9.18226e-09,0.000493786,
1.32937e+07,0.000274269,0.032,0.4,0.596,0.617,4.22588e-07,0.00154078,9.8953e-10,3.60788e-06,
8.28206,0.347481,0.043,0.406,0.615,0.635,-0.00162271,-0.00466992,1.13547e-05,3.26772e-05,
496326,0.00141944,0.041,0.249,0.597,0.696,-1.35461e-05,-0.00954327,1.9453e-07,0.000137047,
5.91048,0.411328,0.042,0.302,0.833,0.846,-0.00747988,-0.0181847,0.000205219,0.000498917,
0.124661,2.83228,0.048,0.303,0.716,0.659,-0.00124121,-0.000438237,7.15256e-07,2.52537e-07,
